ID	DATE	LOCATION	RACE NAME	SURFACE	ORGANISATION	PLACE	ATHLETE	CATEGORY	GENDER	GRADE	TIME	DISTANCE KM	NOTES	PACE MIN/KM													
1002	11/02/2012	Phoenix Park	LVAC Mens Cross Country Championships	XC	LVAC	1	Tom O'Connor	Club Championships	Men		22:56.0		Finish 00:22:56.00 | Handicap 00:00:00.00 | Check distance														
1003	11/02/2012	Phoenix Park	LVAC Womens Cross Country Championships	XC	LVAC	1	Leona O'Reilly	Club Championships	Women		24:16.0		Estimated 00:26:16.00 | Finish 00:12:22.00 | Handicap 00:02:00.00 | Check distance														
1010	09/02/2014	Phoenix Park	LVAC Mens Cross Country Championships	XC	LVAC	1	Mike Griffin	Club Championships	Men		29:28.0		Check distance														
1011	09/02/2014	Phoenix Park	LVAC Womens Cross Country Championships	XC	LVAC	1	Leona O'Reilly	Club Championships	Women		15:26.0		Check distance														
1013	28/09/2014	"Stamullen, Co Meath."	Star of the Sea Men's Cross Country	XC	Club Races	7	Chris Morgan		Men		20:36.0		Check distance														
1014	28/09/2014	"Stamullen, Co Meath."	Star of the Sea Women's Cross Country	XC	Club Races	1	Leona O'Reilly		Women		11:17.0		Check distance														
1015	02/11/2014	Santry	Dublin Senior XC Men	XC	Dublin	38	Chris Morgan	Senior	Men		31:44.0		Check distance														
1016	02/11/2014	Santry	Dublin Senior XC Women	XC	Dublin	9	Leona O'Reilly	Senior	Women		19:04.0		Check distance														
1017	27/12/2014	Phoenix Park	LVAC Multi Terrain	Road	LVAC	1	Chris Morgan		Men		21:12.0		Finish 00:30:27.00 | Check distance														
1018	19/01/2015	"Dunboyne, Co. Meath"	Leinster Senior Cross Country Men	XC	Leinster	11	Damien Cauvet	Senior	Men		35:44.0		Check distance														
1019	19/01/2015	"Dunboyne, Co. Meath"	Leinster Senior Cross Country Women	XC	Leinster	4	Leona O'Reilly	Senior	Women		20:09.0		Check distance														
1021	08/02/2015	"Tuam, Co. Galway"	National Intermediate Cross Country Women	XC	National	15	Sile Carroll	Intermediate	Women		20:53.0		Check distance														
1022	08/02/2015	"Tuam, Co. Galway"	National Masters Cross Country Men Over 65	XC	National	4	Pat Collins	Master	Men		17:46.0		Check distance														
1023	08/02/2015	"Tuam, Co. Galway"	National Masters Cross Country Women	XC	National	67	Linda Spratt	Master	Women		18:32.0		Check distance														
1024	12/02/2015	Phoenix Park	LVAC Mens Cross Country Championships	XC	LVAC	1	Peter Arthur	Club Championships	Men		26:34.0		Check distance														
1025	12/02/2015	Phoenix Park	LVAC Womens Cross Country Championships	XC	LVAC	1	Sile Carroll	Club Championships	Women		15:12.0		Check distance														
1036	27/09/2015	"Stamullen, Co Meath."	Star of the Sea Men's Cross Country	XC	Club Races	5	Brendan Beere		Men		21:29.0		Check distance														
1037	27/09/2015	"Stamullen, Co Meath."	Star of the Sea Women's Cross Country	XC	Club Races	1	Leona O'Reilly		Women		11:14.0		Check distance														
1038	04/10/2015	Phoenix Park	Dublin Novice Men's Cross Country	XC	Dublin	18	Michael O'Connor	Novice	Men		20:10.0		Check distance														
1039	04/10/2015	Phoenix Park	Dublin Novice Women's Cross Country	XC	Dublin	31	Frances Kinnane	Novice	Women		17:04.0		Check distance														
1042	25/10/2015	"Moyvalley, Co. Meath"	Eastern Region Masters Cross Country	XC	Club Races	26	Billy Hanley	Master	Men	M40	21:21.0		Check distance														
1044	01/11/2015	Santry	Dublin Senior Cross Country Women	XC	Dublin	7	Leona O'Reilly	Senior	Women		23:55.0		Check distance														
1045	01/11/2015	Santry	Dublin Senior Cross Country Men	XC	Dublin	37	Chris Morgan	Senior	Men		37:19.0		Check distance														
1047	22/11/2015	Santry	National Senior Inter Clubs Cross Country Men	XC	National	43	Peter Arthur	Intermediate	Men		33:49.0		Check distance														
1050	19/12/2015	"Dog Pond, Phoenix Park"	LVAC Cake Race	Road	LVAC	1	Peter Arthur		Men		16:15.0		Finish 00:26:15.00 | Handicap 00:10:00.00 | Check distance														
1058	21/02/2016	Phoenix Park	LVAC Mens Cross Country Championships	XC	LVAC	1	Damien Cauvet	Club Championships	Men		28:42.0		Check distance														
1059	21/02/2016	Phoenix Park	LVAC Womens Cross Country Championships	XC	LVAC	1	Sile Carroll	Club Championships	Women		15:30.0		Check distance														
1060	06/03/2016	Phoenix Park	LVAC Avondale Cup	Road	LVAC	1	Eimear Nic An Bhaird		Women		25:12.0		Finish 00:30:42.00 | Handicap 00:05:30.00 | Check distance														
1062	01/05/2016	Tallaght	Dublin Novice Road Championships	Road	Dublin	22	Charlie Donnelly	Novice	Men		17:39.0		Check distance														
1063	02/05/2016	"Gowran, Co Kilkenny"	Leinster Master Road Championships	Road	Leinster	6	Paul Balfe	Master	Men	M40	20:40.0		Check distance														
1074	06/11/2016	Santry	Dublin Senior Cross Country Men	XC	Dublin	7	Peter Arthur	Senior	Men		30:29.0		Check distance														
1075	06/11/2016	Santry	Dublin Senior Cross Country Women	XC	Dublin	20	Aileen Gittens	Senior	Women		22:03.0		Check distance														
1076	13/11/2016	"New Forest Golf Club, Tyrellstown"	Leinster Senior Cross Country Men	XC	Leinster	5	Peter Arthur	Senior	Men		32:51.0		Check distance														
1077	13/11/2016	"New Forest Golf Club, Tyrellstown"	Leinster Senior Cross Country Women	XC	Leinster	7	Aileen Gittens	Senior	Women		18:57.0		Check distance														
1082	08/01/2017	"St Annes Park, Raheny"	Dublin Masters Cross Country	XC	Dublin	34	Ciaran Reilly	Master	Men		23:10.0		Check distance														
1085	22/01/2017	"Palace Grounds, Tuam"	National Intermediate Cross Country	XC	National	4	Damien Cauvet	Intermediate	Men		28:22.0		Check distance														
1086	05/02/2017	Phoenix Park	LVAC Mens Cross Country Championships	XC	LVAC	1	Peter Arthur	Club Championships	Men		25:33.0		Check distance														
1087	05/02/2017	Phoenix Park	LVAC Womens Cross Country Championships	XC	LVAC	1	Sile Carroll	Club Championships	Women		14:47.0		Check distance														
1090	12/03/2017	Phoenix Park	LVAC Avondale Cup	Road	LVAC	1	Damien Cauvet		Men		19:36.0		Finish 00:28:46.00 | Handicap 00:09:10.00 | Check distance														
1097	16/12/2017	"Dog Pond, Phoenix Park"	LVAC Cake Race	Road	LVAC	1	Aoife Brady		Women		23:30.0		Finish 00:26:45.00 | Handicap 00:03:15.00 | Check distance														
1102	11/03/2018	Phoenix Park	LVAC Mens Cross Country Championships	XC	LVAC	1	Peter Arthur	Club Championships	Men		26:02.0		Check distance														
1103	11/03/2018	Phoenix Park	LVAC Womens Cross Country Championships	XC	LVAC	1	Sile Carroll	Club Championships	Women		19:33.0		Check distance														
1104	25/03/2018	Phoenix Park	LVAC Avondale Cup	Road	LVAC	1	Eddie McGrath		Men		24:20.0		Finish 00:28:20.00 | Handicap 00:04:00.00 | Check distance														
1107	21/10/2018	"Abbotstown, Dublin"	Athletics Ireland Autumn Open Cross Country Masters Men	XC	Dublin	62	Ciaran Reilly	Master	Men		28:13.0		Check distance														
1108	21/10/2018	"Abbotstown, Dublin"	Athletics Ireland Autumn Open Cross Country Masters Women	XC	Dublin	21	Eimear Nic An Bhaird	Master	Women		23:51.0		Check distance														
1109	21/10/2018	"Abbotstown, Dublin"	Athletics Ireland Autumn Open Cross Country Senior Men	XC	Dublin	24	Peter Arthur	Senior	Men		24:02.0		Check distance														
1110	21/10/2018	"Abbotstown, Dublin"	Athletics Ireland Autumn Open Cross Country Senior Women	XC	Dublin	32	Sile Carroll	Senior	Women		23:44.0		Check distance														
1111	11/11/2018	"Adamstown, Co Wexford"	Leinster Senior Cross Country Men	XC	Leinster	3	Peter Arthur	Senior	Men		34:26.0		Check distance														
1112	11/11/2018	"Adamstown, Co Wexford"	Leinster Senior Cross Country Women	XC	Leinster	7	Eimear Nic An Bhaird	Senior	Women		20:29.0		Check distance														
1113	15/12/2018	"Dog Pond, Phoenix Park"	LVAC Cake Race	Road	LVAC	1	Hilary McDonnell		Women		27:06.0		Finish 00:27:36.00 | Handicap 00:00:30.00 | Check distance														
